country,avg
Suriname,3.0
Swaziland,2.8
Sweden,3.057926829268293
Switzerland,2.6229416689924645
Syrian Arab Republic,3.0
Taiwan,2.938775510204082
Tajikistan,4.0
"Tanzania, United Republic of",2.7547169811320753
Thailand,2.6300578034682083
Togo,2.259259259259259
Tonga,1.5
Trinidad and Tobago,2.7096774193548385
Tunisia,2.652173913043478
Turkey,3.0472972972972974
Turks and Caicos Islands,3.0
Uganda,2.611111111111111
Ukraine,3.164383561643836
United Arab Emirates,2.814814814814815
United Kingdom,2.626946107784431
United States,2.592228135354955
Uruguay,2.4557235421166306
Uzbekistan,2.0
Vanuatu,3.0
Venezuela,2.398293963254593
Vietnam,2.752808988764045
"Virgin Islands, U.S.",3.0
Wallis and Futuna,
Yemen,3.0
Zambia,2.4782608695652173
Zimbabwe,2.69811320754717
